review_text,sentiment,star_rating
This is the best purchase I have made in a long time.,positive,4
This is the best purchase I have made in a long time.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
"Terrible quality, stopped working after a week!",negative,2
"Great value for money, works like a charm.",positive,4
"The worst experience I've had, utterly disappointed.",negative,1
"It's okay, nothing too special but does the job.",neutral,3
Horrible customer service and poor product quality.,negative,2
"Very disappointed with this purchase, would not recommend.",negative,2
"The product is decent, not amazing but not bad either.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,1
"I'm really satisfied with this, five stars all the way!",positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
"The product is decent, not amazing but not bad either.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,2
Absolutely love this product! Exceeded my expectations.,positive,4
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Terrible quality, stopped working after a week!",negative,2
"The worst experience I've had, utterly disappointed.",negative,2
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
Absolutely love this product! Exceeded my expectations.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,4
"The worst experience I've had, utterly disappointed.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
Horrible customer service and poor product quality.,negative,2
"Very disappointed with this purchase, would not recommend.",negative,2
"It's okay, nothing too special but does the job.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Horrible customer service and poor product quality.,negative,1
"The product is decent, not amazing but not bad either.",neutral,3
"Great value for money, works like a charm.",positive,4
"An average experience, meets my basic needs.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
Horrible customer service and poor product quality.,negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"I'm really satisfied with this, five stars all the way!",positive,4
Fantastic quality and excellent performance! Highly recommended.,positive,4
Horrible customer service and poor product quality.,negative,1
"The product is decent, not amazing but not bad either.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,2
"An average experience, meets my basic needs.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Neither great nor terrible, works as expected.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
Absolutely love this product! Exceeded my expectations.,positive,4
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Not worth the money at all, completely unreliable.",negative,2
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Not worth the money at all, completely unreliable.",negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,4
This is the best purchase I have made in a long time.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
"I'm really satisfied with this, five stars all the way!",positive,5
"I'm really satisfied with this, five stars all the way!",positive,4
"An average experience, meets my basic needs.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"Great value for money, works like a charm.",positive,4
"Great value for money, works like a charm.",positive,5
Absolutely love this product! Exceeded my expectations.,positive,5
"Terrible quality, stopped working after a week!",negative,1
Absolutely love this product! Exceeded my expectations.,positive,5
Absolutely love this product! Exceeded my expectations.,positive,4
"Nothing impressive, just a standard product.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Not worth the money at all, completely unreliable.",negative,2
"An average experience, meets my basic needs.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
"Very disappointed with this purchase, would not recommend.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,1
"An average experience, meets my basic needs.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
"I'm really satisfied with this, five stars all the way!",positive,5
"The product is decent, not amazing but not bad either.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
Absolutely love this product! Exceeded my expectations.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,4
"Neither great nor terrible, works as expected.",neutral,3
This is the best purchase I have made in a long time.,positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
"Great value for money, works like a charm.",positive,5
Horrible customer service and poor product quality.,negative,2
"Very disappointed with this purchase, would not recommend.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,5
"It's okay, nothing too special but does the job.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
"Not worth the money at all, completely unreliable.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,5
"I'm really satisfied with this, five stars all the way!",positive,4
"The worst experience I've had, utterly disappointed.",negative,1
"It's okay, nothing too special but does the job.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
"The worst experience I've had, utterly disappointed.",negative,2
"It's okay, nothing too special but does the job.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
"Terrible quality, stopped working after a week!",negative,1
"Not worth the money at all, completely unreliable.",negative,2
"An average experience, meets my basic needs.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
"Not worth the money at all, completely unreliable.",negative,2
"The product is decent, not amazing but not bad either.",neutral,3
Horrible customer service and poor product quality.,negative,2
"Terrible quality, stopped working after a week!",negative,1
"An average experience, meets my basic needs.",neutral,3
Horrible customer service and poor product quality.,negative,2
This is the best purchase I have made in a long time.,positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,5
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Horrible customer service and poor product quality.,negative,2
"Nothing impressive, just a standard product.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
"Nothing impressive, just a standard product.",neutral,3
This is the best purchase I have made in a long time.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
"Nothing impressive, just a standard product.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
"I'm really satisfied with this, five stars all the way!",positive,4
"Terrible quality, stopped working after a week!",negative,1
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"The product is decent, not amazing but not bad either.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
Fantastic quality and excellent performance! Highly recommended.,positive,5
Horrible customer service and poor product quality.,negative,1
"The worst experience I've had, utterly disappointed.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
Horrible customer service and poor product quality.,negative,2
Horrible customer service and poor product quality.,negative,2
"Nothing impressive, just a standard product.",neutral,3
Horrible customer service and poor product quality.,negative,2
"It's okay, nothing too special but does the job.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
Absolutely love this product! Exceeded my expectations.,positive,4
"I'm really satisfied with this, five stars all the way!",positive,4
"The product is decent, not amazing but not bad either.",neutral,3
Horrible customer service and poor product quality.,negative,2
"I'm really satisfied with this, five stars all the way!",positive,5
Horrible customer service and poor product quality.,negative,2
"Nothing impressive, just a standard product.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"An average experience, meets my basic needs.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
Absolutely love this product! Exceeded my expectations.,positive,4
This is the best purchase I have made in a long time.,positive,4
This is the best purchase I have made in a long time.,positive,5
Horrible customer service and poor product quality.,negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"An average experience, meets my basic needs.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
"The worst experience I've had, utterly disappointed.",negative,1
"Great value for money, works like a charm.",positive,5
"The product is decent, not amazing but not bad either.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Not worth the money at all, completely unreliable.",negative,1
"The worst experience I've had, utterly disappointed.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,5
Absolutely love this product! Exceeded my expectations.,positive,5
"Terrible quality, stopped working after a week!",negative,1
"Very disappointed with this purchase, would not recommend.",negative,1
"Not worth the money at all, completely unreliable.",negative,1
"An average experience, meets my basic needs.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
"The product is decent, not amazing but not bad either.",neutral,3
This is the best purchase I have made in a long time.,positive,5
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
"Nothing impressive, just a standard product.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,5
"It's okay, nothing too special but does the job.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,4
"The worst experience I've had, utterly disappointed.",negative,1
Horrible customer service and poor product quality.,negative,1
"I'm really satisfied with this, five stars all the way!",positive,5
"Very disappointed with this purchase, would not recommend.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Great value for money, works like a charm.",positive,4
"Very disappointed with this purchase, would not recommend.",negative,1
This is the best purchase I have made in a long time.,positive,4
"An average experience, meets my basic needs.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
"It's okay, nothing too special but does the job.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"An average experience, meets my basic needs.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
"It's okay, nothing too special but does the job.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
This is the best purchase I have made in a long time.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"Great value for money, works like a charm.",positive,4
"An average experience, meets my basic needs.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
Absolutely love this product! Exceeded my expectations.,positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,5
Absolutely love this product! Exceeded my expectations.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,2
"The product is decent, not amazing but not bad either.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
Absolutely love this product! Exceeded my expectations.,positive,4
"It's okay, nothing too special but does the job.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
"An average experience, meets my basic needs.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"Very disappointed with this purchase, would not recommend.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,4
"The worst experience I've had, utterly disappointed.",negative,2
"Nothing impressive, just a standard product.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"Great value for money, works like a charm.",positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
Absolutely love this product! Exceeded my expectations.,positive,4
Horrible customer service and poor product quality.,negative,2
"The worst experience I've had, utterly disappointed.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"Not worth the money at all, completely unreliable.",negative,2
"An average experience, meets my basic needs.",neutral,3
Horrible customer service and poor product quality.,negative,1
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
"The product is decent, not amazing but not bad either.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
Horrible customer service and poor product quality.,negative,1
"Nothing impressive, just a standard product.",neutral,3
Horrible customer service and poor product quality.,negative,1
"It's okay, nothing too special but does the job.",neutral,3
Horrible customer service and poor product quality.,negative,2
This is the best purchase I have made in a long time.,positive,4
"Very disappointed with this purchase, would not recommend.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,4
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
"The worst experience I've had, utterly disappointed.",negative,1
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,5
"The worst experience I've had, utterly disappointed.",negative,1
"The worst experience I've had, utterly disappointed.",negative,1
"Great value for money, works like a charm.",positive,4
"Not worth the money at all, completely unreliable.",negative,1
"Great value for money, works like a charm.",positive,5
"Terrible quality, stopped working after a week!",negative,2
Horrible customer service and poor product quality.,negative,2
"The worst experience I've had, utterly disappointed.",negative,1
"Nothing impressive, just a standard product.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
"The worst experience I've had, utterly disappointed.",negative,1
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Great value for money, works like a charm.",positive,5
"Neither great nor terrible, works as expected.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,2
Absolutely love this product! Exceeded my expectations.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
"It's okay, nothing too special but does the job.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,4
This is the best purchase I have made in a long time.,positive,5
"An average experience, meets my basic needs.",neutral,3
"Great value for money, works like a charm.",positive,5
This is the best purchase I have made in a long time.,positive,4
"The worst experience I've had, utterly disappointed.",negative,1
This is the best purchase I have made in a long time.,positive,5
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"The product is decent, not amazing but not bad either.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"Not worth the money at all, completely unreliable.",negative,1
"Great value for money, works like a charm.",positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
"Great value for money, works like a charm.",positive,5
"Neither great nor terrible, works as expected.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Not worth the money at all, completely unreliable.",negative,2
"Terrible quality, stopped working after a week!",negative,2
Horrible customer service and poor product quality.,negative,2
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Not worth the money at all, completely unreliable.",negative,1
"Nothing impressive, just a standard product.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,5
"Terrible quality, stopped working after a week!",negative,1
"Nothing impressive, just a standard product.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,2
Horrible customer service and poor product quality.,negative,1
This is the best purchase I have made in a long time.,positive,5
"Very disappointed with this purchase, would not recommend.",negative,1
"Not worth the money at all, completely unreliable.",negative,1
"An average experience, meets my basic needs.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
Absolutely love this product! Exceeded my expectations.,positive,4
"The worst experience I've had, utterly disappointed.",negative,2
"Terrible quality, stopped working after a week!",negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Not worth the money at all, completely unreliable.",negative,1
"Terrible quality, stopped working after a week!",negative,2
"The product is decent, not amazing but not bad either.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
"I'm really satisfied with this, five stars all the way!",positive,4
Horrible customer service and poor product quality.,negative,1
"It's okay, nothing too special but does the job.",neutral,3
This is the best purchase I have made in a long time.,positive,5
Absolutely love this product! Exceeded my expectations.,positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
"Very disappointed with this purchase, would not recommend.",negative,1
"It's okay, nothing too special but does the job.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"Not worth the money at all, completely unreliable.",negative,1
"Great value for money, works like a charm.",positive,5
"Nothing impressive, just a standard product.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
"Not worth the money at all, completely unreliable.",negative,2
"An average experience, meets my basic needs.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
Horrible customer service and poor product quality.,negative,2
"Neither great nor terrible, works as expected.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
Horrible customer service and poor product quality.,negative,2
"It's okay, nothing too special but does the job.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"Terrible quality, stopped working after a week!",negative,1
Horrible customer service and poor product quality.,negative,2
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,5
This is the best purchase I have made in a long time.,positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"An average experience, meets my basic needs.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"Neither great nor terrible, works as expected.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"Very disappointed with this purchase, would not recommend.",negative,2
"Neither great nor terrible, works as expected.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"The product is decent, not amazing but not bad either.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Neither great nor terrible, works as expected.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,2
"Terrible quality, stopped working after a week!",negative,2
"Neither great nor terrible, works as expected.",neutral,3
Horrible customer service and poor product quality.,negative,1
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,4
"Terrible quality, stopped working after a week!",negative,2
Absolutely love this product! Exceeded my expectations.,positive,5
"Terrible quality, stopped working after a week!",negative,2
"The worst experience I've had, utterly disappointed.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,2
"It's okay, nothing too special but does the job.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
This is the best purchase I have made in a long time.,positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
Horrible customer service and poor product quality.,negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,5
"The product is decent, not amazing but not bad either.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"An average experience, meets my basic needs.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"The product is decent, not amazing but not bad either.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
"Very disappointed with this purchase, would not recommend.",negative,2
"Not worth the money at all, completely unreliable.",negative,2
"An average experience, meets my basic needs.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"Great value for money, works like a charm.",positive,4
"Terrible quality, stopped working after a week!",negative,1
"An average experience, meets my basic needs.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
"An average experience, meets my basic needs.",neutral,3
"Great value for money, works like a charm.",positive,5
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
"Neither great nor terrible, works as expected.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
"I'm really satisfied with this, five stars all the way!",positive,4
Horrible customer service and poor product quality.,negative,2
"Terrible quality, stopped working after a week!",negative,2
"Nothing impressive, just a standard product.",neutral,3
"I'm really satisfied with this, five stars all the way!",positive,4
"An average experience, meets my basic needs.",neutral,3
"An average experience, meets my basic needs.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"I'm really satisfied with this, five stars all the way!",positive,4
Horrible customer service and poor product quality.,negative,1
"The product is decent, not amazing but not bad either.",neutral,3
"Great value for money, works like a charm.",positive,4
"I'm really satisfied with this, five stars all the way!",positive,5
"Great value for money, works like a charm.",positive,5
"I'm really satisfied with this, five stars all the way!",positive,4
Absolutely love this product! Exceeded my expectations.,positive,5
This is the best purchase I have made in a long time.,positive,5
"Terrible quality, stopped working after a week!",negative,1
"Terrible quality, stopped working after a week!",negative,2
"Nothing impressive, just a standard product.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"Great value for money, works like a charm.",positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,4
"The worst experience I've had, utterly disappointed.",negative,1
"An average experience, meets my basic needs.",neutral,3
"Not worth the money at all, completely unreliable.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,1
"Very disappointed with this purchase, would not recommend.",negative,2
"It's okay, nothing too special but does the job.",neutral,3
"Terrible quality, stopped working after a week!",negative,1
"I'm really satisfied with this, five stars all the way!",positive,4
"Great value for money, works like a charm.",positive,4
"The product is decent, not amazing but not bad either.",neutral,3
"The worst experience I've had, utterly disappointed.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"An average experience, meets my basic needs.",neutral,3
This is the best purchase I have made in a long time.,positive,5
Horrible customer service and poor product quality.,negative,2
"Not worth the money at all, completely unreliable.",negative,1
This is the best purchase I have made in a long time.,positive,5
"Not worth the money at all, completely unreliable.",negative,2
"Very disappointed with this purchase, would not recommend.",negative,1
"Neither great nor terrible, works as expected.",neutral,3
"Not worth the money at all, completely unreliable.",negative,2
"Not worth the money at all, completely unreliable.",negative,1
"The worst experience I've had, utterly disappointed.",negative,2
"Not worth the money at all, completely unreliable.",negative,2
"Not worth the money at all, completely unreliable.",negative,1
Horrible customer service and poor product quality.,negative,2
Horrible customer service and poor product quality.,negative,2
"Very disappointed with this purchase, would not recommend.",negative,1
This is the best purchase I have made in a long time.,positive,5
Fantastic quality and excellent performance! Highly recommended.,positive,5
This is the best purchase I have made in a long time.,positive,5
"It's okay, nothing too special but does the job.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,4
"It's okay, nothing too special but does the job.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
This is the best purchase I have made in a long time.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"Great value for money, works like a charm.",positive,4
"Great value for money, works like a charm.",positive,5
"Very disappointed with this purchase, would not recommend.",negative,2
"Very disappointed with this purchase, would not recommend.",negative,2
"Not worth the money at all, completely unreliable.",negative,2
"Terrible quality, stopped working after a week!",negative,2
"Great value for money, works like a charm.",positive,4
"Not worth the money at all, completely unreliable.",negative,1
Fantastic quality and excellent performance! Highly recommended.,positive,4
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
"An average experience, meets my basic needs.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"An average experience, meets my basic needs.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,5
"Neither great nor terrible, works as expected.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,4
"Not worth the money at all, completely unreliable.",negative,2
"It's okay, nothing too special but does the job.",neutral,3
Horrible customer service and poor product quality.,negative,2
"Very disappointed with this purchase, would not recommend.",negative,2
"An average experience, meets my basic needs.",neutral,3
"The product is decent, not amazing but not bad either.",neutral,3
"Terrible quality, stopped working after a week!",negative,2
Horrible customer service and poor product quality.,negative,2
Horrible customer service and poor product quality.,negative,2
"Nothing impressive, just a standard product.",neutral,3
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Great value for money, works like a charm.",positive,4
"It's okay, nothing too special but does the job.",neutral,3
"Great value for money, works like a charm.",positive,5
Horrible customer service and poor product quality.,negative,2
Fantastic quality and excellent performance! Highly recommended.,positive,5
"Nothing impressive, just a standard product.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"It's okay, nothing too special but does the job.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"Very disappointed with this purchase, would not recommend.",negative,1
"An average experience, meets my basic needs.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
"Nothing impressive, just a standard product.",neutral,3
This is the best purchase I have made in a long time.,positive,4
"It's okay, nothing too special but does the job.",neutral,3
"An average experience, meets my basic needs.",neutral,3
"Neither great nor terrible, works as expected.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
"Nothing impressive, just a standard product.",neutral,3
Absolutely love this product! Exceeded my expectations.,positive,4
